name,age,nationality,team,mascot,position,games_played,goals,assists,points
John Moore,27,USA,N.J,devils,D,63,12,10,22
Kyle Palmieri,26,USA,N.J,devils,RW/C/LW,80,26,27,53
Blake Pietila,24,USA,N.J,devils,LW/C,10,0,1,1
John Quenneville,21,CAN,N.J,devils,C,12,1,3,4
Kevin Rooney,24,USA,N.J,devils,C,4,0,0,0
Steven Santini,22,USA,N.J,devils,D,38,2,5,7
Damon Severson,23,CAN,N.J,devils,D,80,3,28,31
Devante Smith-Pelly,25,CAN,N.J,devils,RW/C/LW,53,4,5,9
Blake Speers,20,CAN,N.J,devils,C,3,0,0,0
Karl Stollery,30,CAN,N.J,devils,D,11,0,3,3
Ben Thomson,24,CAN,N.J,devils,LW,3,0,0,0
John-Michael Liles,37,USA,BOS,bruins,D,36,0,5,5
Miles Wood,22,USA,N.J,devils,LW,60,8,9,17
Pavel Zacha,20,CZE,N.J,devils,C,70,8,16,24
Travis Zajac,32,CAN,N.J,devils,C,80,14,31,45
Vernon Fiddler,37,CAN,N.J/NSH,devils,C/LW,59,2,2,4
PA Parenteau,34,CAN,N.J/NSH,devils,RW,67,13,15,28
Hampus Lindholm,23,SWE,ANA,ducks,D,66,6,14,20
Reid Boucher,24,USA,N.J/NSH/VAN,devils,C/LW,39,6,4,10
Pontus Aberg,24,SWE,NSH,predators,LW,15,1,1,2
Viktor Arvidsson,24,SWE,NSH,predators,LW/RW,80,31,30,61
Cody Bass,30,CAN,NSH,predators,C,9,0,0,0
Anthony Bitetto,27,USA,NSH,predators,D,29,0,7,7
Matt Carle,33,USA,NSH,predators,D,6,0,1,1
Alex Carrier,21,CAN,NSH,predators,D,2,0,0,0
Mattias Ekholm,27,SWE,NSH,predators,D,82,3,20,23
Ryan Ellis,26,CAN,NSH,predators,D,71,16,22,38
Kevin Fiala,21,CHE,NSH,predators,LW,54,11,5,16
Mike Fisher,37,CAN,NSH,predators,C,72,18,24,42
Filip Forsberg,23,SWE,NSH,predators,LW/C/RW,82,31,27,58
Frederick Gaudreau,24,CAN,NSH,predators,C,9,0,1,1
Petter Granberg,25,SWE,NSH,predators,D,10,0,0,0
Matt Irwin,30,CAN,NSH,predators,D,74,3,11,14
Josh Manson,26,USA,ANA,ducks,D,82,5,12,17
Calle Jarnkrok,26,SWE,NSH,predators,C,81,15,16,31
Brad Marchand,29,CAN,BOS,bruins,LW/C,80,39,46,85
Ryan Johansen,25,CAN,NSH,predators,C/RW,82,14,47,61
Roman Josi,27,CHE,NSH,predators,D,72,12,37,49
Vladislav Kamenev,21,RUS,NSH,predators,LW/C,2,0,0,0
Mike Liambas,28,CAN,NSH,predators,LW,1,0,0,0
James Neal,30,CAN,NSH,predators,RW/LW,70,23,18,41
Adam Pardy,33,CAN,NSH,predators,D,4,0,0,0
Mike Ribeiro,37,CAN,NSH,predators,C,46,4,21,25
Miikka Salomaki,24,FIN,NSH,predators,RW,5,0,0,0
Colton Sissons,24,CAN,NSH,predators,C,58,8,2,10
Craig Smith,28,USA,NSH,predators,RW/LW/C,78,12,17,29
Jordan Martinook,25,CAN,ARI,coyotes,LW/C,77,11,14,25
Trevor Smith,32,CAN,NSH,predators,C/RW,1,0,0,0
P.K. Subban,28,CAN,NSH,predators,D,66,10,30,40
Austin Watson,25,USA,NSH,predators,LW,77,5,12,17
Yannick Weber,29,CHE,NSH,predators,D,73,1,7,8
Colin Wilson,28,USA,NSH,predators,LW/C,70,12,23,35
Jamie McBain,29,USA,ARI,coyotes,D,3,0,0,0
Harry Zolnierczyk,30,CAN,NSH,predators,LW,24,2,2,4
Brad Hunt,29,CAN,NSH/STL,predators,D,12,1,5,6
Josh Bailey,28,CAN,NYI,islanders,RW/LW/C,82,13,43,56
Mathew Barzal,20,CAN,NYI,islanders,C,2,0,0,0
Anthony Beauvillier,20,CAN,NYI,islanders,C/LW,66,9,15,24
Johnny Boychuk,33,CAN,NYI,islanders,D,66,6,17,23
Jason Chimera,38,CAN,NYI,islanders,LW/RW,82,20,13,33
Casey Cizikas,26,CAN,NYI,islanders,C,59,8,17,25
Cal Clutterbuck,30,CAN,NYI,islanders,RW,66,5,15,20
Calvin de Haan,26,CAN,NYI,islanders,D,82,5,20,25
Stephen Gionta,34,USA,NYI,islanders,RW/C,26,1,5,6
Jamie McGinn,29,CAN,ARI,coyotes,LW/RW,72,9,8,17
Travis Hamonic,27,CAN,NYI,islanders,D,49,3,11,14
Thomas Hickey,28,CAN,NYI,islanders,D,76,4,16,20
Joshua Ho-Sang,21,CAN,NYI,islanders,RW/C,21,4,6,10
Connor Jones,27,CAN,NYI,islanders,C/LW,4,0,0,0
Bracken Kearns,36,CAN,NYI,islanders,C,2,0,0,0
Nikolay Kulemin,31,RUS,NYI,islanders,LW/RW,72,12,11,23
Adam Mcquaid,31,CAN,BOS,bruins,D,77,2,8,10
Andrew Ladd,32,CAN,NYI,islanders,LW,78,23,8,31
Jaycob Megna,25,USA,ANA,ducks,D,1,0,0,0
Nick Leddy,26,USA,NYI,islanders,D,81,11,35,46
Anders Lee,27,USA,NYI,islanders,LW/C,81,34,18,52
Scott Mayfield,25,USA,NYI,islanders,D,25,2,7,9
Brock Nelson,26,USA,NYI,islanders,C/LW,81,20,25,45
Adam Pelech,23,CAN,NYI,islanders,D,44,3,7,10
Shane Prince,25,USA,NYI,islanders,LW/C,50,5,13,18
Zbynek Michalek,35,CZE,ARI,coyotes,D,3,0,0,0
Ryan Pulock,23,CAN,NYI,islanders,D,1,0,0,0
Colin Miller,25,CAN,BOS,bruins,D,61,6,7,13
Alan Quine,24,CAN,NYI,islanders,C,61,5,13,18
Dennis Seidenberg,36,DEU,NYI,islanders,D,73,5,17,22
Kevan Miller,30,USA,BOS,bruins,D,58,3,10,13
Ryan Strome,24,CAN,NYI,islanders,RW/C,69,13,17,30
John Tavares,27,CAN,NYI,islanders,C,77,28,38,66
Pavel Buchnevich,22,RUS,NYR,rangers,RW/LW,41,8,12,20
Adam Clendening,25,USA,NYR,rangers,D,31,2,9,11
Jesper Fast,26,SWE,NYR,rangers,RW/LW,68,6,15,21
Dan Girardi,33,CAN,NYR,rangers,D,63,4,11,15
Brandon Montour,23,CAN,ANA,ducks,D,27,2,4,6
Dominic Moore,37,CAN,BOS,bruins,C/LW,82,11,14,25
Tanner Glass,34,CAN,NYR,rangers,LW,11,1,1,2
Michael Grabner,30,AUT,NYR,rangers,RW,76,27,13,40
Kevin Hayes,25,USA,NYR,rangers,C/RW,76,17,32,49
Joe Morrow,25,CAN,BOS,bruins,D,17,0,1,1
Nick Holden,30,CAN,NYR,rangers,D,80,11,23,34
Marek Hrivik,26,SVK,NYR,rangers,LW/C/RW,16,0,2,2
Nicklas Jensen,24,DNK,NYR,rangers,RW/LW,7,0,0,0
Connor Murphy,24,USA,ARI,coyotes,D,77,2,15,17
