name,age,nationality,team,mascot,position,games_played,goals,assists,points
Brady Austin,24,CAN,BUF,sabres,D,5,0,0,0
Justin Bailey,22,USA,BUF,sabres,RW,32,2,2,4
Nicholas Baptiste,22,CAN,BUF,sabres,RW,14,3,1,4
Noel Acciari,26,USA,BOS,bruins,C,29,2,3,5
Zach Bogosian,27,USA,BUF,sabres,D,56,2,9,11
Erik Burgdoerfer,29,USA,BUF,sabres,D,2,0,0,0
William Carrier,23,CAN,BUF,sabres,LW,41,5,3,8
Nicolas Deslauriers,26,CAN,BUF,sabres,LW,42,0,2,2
Jack Eichel,21,USA,BUF,sabres,C,61,24,33,57
Tyler Ennis,28,CAN,BUF,sabres,LW/C/RW,51,5,8,13
Justin Falk,29,CAN,BUF,sabres,D,52,0,8,8
Hudson Fasching,22,USA,BUF,sabres,RW,10,0,1,1
Taylor Fedun,29,CAN,BUF,sabres,D,27,0,7,7
Marcus Foligno,26,USA,BUF,sabres,LW,80,13,10,23
Cody Franson,30,CAN,BUF,sabres,D,68,3,16,19
Brian Gionta,38,USA,BUF,sabres,RW,82,15,20,35
Zemgus Girgensons,23,LVA,BUF,sabres,C/LW,75,7,9,16
Josh Gorges,33,CAN,BUF,sabres,D,66,1,5,6
Brendan Guhle,20,CAN,BUF,sabres,D,3,0,0,0
David Backes,33,USA,BOS,bruins,RW/C,74,17,21,38
Evander Kane,26,CAN,BUF,sabres,LW,70,28,15,43
Dmitry Kulikov,27,RUS,BUF,sabres,D,47,2,3,5
Johan Larsson,25,SWE,BUF,sabres,C/LW,36,6,5,11
Sean Malone,22,USA,BUF,sabres,C,1,0,0,0
Jake McCabe,24,USA,BUF,sabres,D,76,3,17,20
Matt Moulson,34,CAN,BUF,sabres,LW,81,14,18,32
Casey Nelson,25,USA,BUF,sabres,D,11,0,0,0
Alex Nylander,19,CAN,BUF,sabres,RW/LW,4,0,1,1
Cal O'Reilly,31,CAN,BUF,sabres,C,11,0,1,1
Ryan O'Reilly,26,CAN,BUF,sabres,C/LW/RW,72,20,35,55
Kyle Okposo,29,USA,BUF,sabres,RW,65,19,26,45
Sam Reinhart,22,CAN,BUF,sabres,C,79,17,30,47
Rasmus Ristolainen,23,FIN,BUF,sabres,D,79,6,39,45
Evan Rodrigues,24,CAN,BUF,sabres,LW/C,30,4,2,6
Cole Schneider,27,USA,BUF,sabres,LW/RW,4,0,1,1
C.J. Smith,23,USA,BUF,sabres,LW/RW,2,0,1,1
Derek Grant,27,CAN,BUF/NSH,sabres,C,46,0,4,4
Sebastian Aho,20,FIN,CAR,hurricanes,RW/LW,82,24,25,49
Bryan Bickell,31,CAN,CAR,hurricanes,LW,11,1,0,1
Patrick Brown,25,USA,CAR,hurricanes,C,14,0,0,0
Matt Beleskey,29,CAN,BOS,bruins,LW,49,3,5,8
Klas Dahlbeck,26,SWE,CAR,hurricanes,D,43,2,4,6
Phillip Di Giuseppe,24,CAN,CAR,hurricanes,LW,36,1,6,7
Justin Faulk,25,USA,CAR,hurricanes,D,75,17,20,37
Martin Frk,24,CZE,CAR,hurricanes,RW,2,0,0,0
Noah Hanifin,20,USA,CAR,hurricanes,D,81,4,25,29
Elias Lindholm,23,SWE,CAR,hurricanes,C/RW,72,11,34,45
Patrice Bergeron,32,CAN,BOS,bruins,C,79,21,32,53
Jay McClement,34,CAN,CAR,hurricanes,C,65,5,3,8
Brock McGinn,23,CAN,CAR,hurricanes,LW,57,7,9,16
Ryan Murphy,24,CAN,CAR,hurricanes,D,27,0,2,2
Jakub Nakladal,30,CZE,CAR,hurricanes,D,3,0,0,0
Andrej Nestrasil,26,CZE,CAR,hurricanes,C/RW/LW,19,1,4,5
Kevin Bieksa,36,CAN,ANA,ducks,D,81,3,11,14
Joakim Nordstrom,25,SWE,CAR,hurricanes,LW/C,82,7,5,12
Brett Pesce,23,USA,CAR,hurricanes,D,82,2,18,20
Andrew Poturalski,23,USA,CAR,hurricanes,C,2,0,0,0
Victor Rask,24,SWE,CAR,hurricanes,C,82,16,29,45
Anton Blidh,22,SWE,BOS,bruins,LW,19,1,1,2
Derek Ryan,31,USA,CAR,hurricanes,C,67,11,18,29
Jeff Skinner,25,CAN,CAR,hurricanes,LW/C/RW,79,37,26,63
Jaccob Slavin,23,USA,CAR,hurricanes,D,82,5,29,34
Jordan Staal,29,CAN,CAR,hurricanes,C/LW,75,16,29,45
Jared Boll,31,USA,ANA,ducks,RW,51,0,3,3
Lee Stempniak,34,USA,CAR,hurricanes,RW,82,16,24,40
Matt Tennyson,27,USA,CAR,hurricanes,D,45,0,6,6
Teuvo Teravainen,23,FIN,CAR,hurricanes,LW/C/RW,81,15,27,42
Sergey Tolchinsky,22,RUS,CAR,hurricanes,LW,2,0,1,1
Lucas Wallmark,22,SWE,CAR,hurricanes,C,8,0,2,2
Valentin Zykov,22,RUS,CAR,hurricanes,LW,2,1,0,1
Viktor Stalberg,31,SWE,CAR/OTT,hurricanes,LW/RW,75,11,5,16
Ron Hainsey,36,USA,CAR/PIT,hurricanes,D,72,4,13,17
Ty Rattie,24,CAN,CAR/STL,hurricanes,RW,9,0,2,2
Josh Anderson,23,CAN,CBJ,bluejackets,RW,78,17,12,29
Cam Atkinson,28,USA,CBJ,bluejackets,RW,82,35,27,62
Oliver Bjorkstrand,22,DNK,CBJ,bluejackets,RW,26,6,7,13
Matt Calvert,28,CAN,CBJ,bluejackets,LW,65,10,5,15
Gabriel Carlsson,20,SWE,CBJ,bluejackets,D,2,0,1,1
Brandon Dubinsky,31,USA,CBJ,bluejackets,C/LW,80,12,29,41
Nick Foligno,30,USA,CBJ,bluejackets,LW/RW,79,26,25,51
Sam Gagner,28,CAN,CBJ,bluejackets,C/RW,81,18,32,50
Markus Hannikainen,24,FIN,CBJ,bluejackets,LW,10,1,1,2
Scott Harrington,24,CAN,CBJ,bluejackets,D,22,1,2,3
Scott Hartnell,35,CAN,CBJ,bluejackets,LW,78,13,24,37
Boone Jenner,24,CAN,CBJ,bluejackets,C/LW,82,18,16,34
Jack Johnson,30,USA,CBJ,bluejackets,D,82,5,18,23
Seth Jones,23,USA,CBJ,bluejackets,D,75,12,30,42
William Karlsson,24,SWE,CBJ,bluejackets,C,81,6,19,25
Sonny Milano,21,USA,CBJ,bluejackets,LW,4,0,0,0
Ryan Murray,24,CAN,CBJ,bluejackets,D,60,2,9,11
Alex Burmistrov,26,RUS,ARI/WPG,coyotes,C/RW,49,5,11,16
Markus Nutivaara,23,FIN,CBJ,bluejackets,D,66,2,5,7
Brandon Saad,25,USA,CBJ,bluejackets,LW/RW,82,24,29,53
David Savard,27,CAN,CBJ,bluejackets,D,74,6,17,23
Lukas Sedlak,24,CZE,CBJ,bluejackets,C/LW,62,7,6,13
T.J. Tynan,25,USA,CBJ,bluejackets,C/RW,3,0,0,0
Alex Wennberg,23,SWE,CBJ,bluejackets,C,80,13,46,59
Zach Werenski,20,USA,CBJ,bluejackets,D,78,11,36,47
Lauri Korpikoski,31,FIN,CBJ/DAL,bluejackets,LW/RW,69,8,12,20
Dalton Prout,27,CAN,CBJ/N.J,bluejackets,D,29,0,6,6
Kyle Quincey,32,CAN,CBJ/N.J,bluejackets,D,73,6,9,15
Rasmus Andersson,21,SWE,CGY,flames,D,1,0,0,0
Mikael Backlund,28,SWE,CGY,flames,C,81,22,31,53
Matt Bartkowski,29,USA,CGY,flames,D,24,1,1,2
Sam Bennett,21,CAN,CGY,flames,C,81,13,13,26
Brandon Carlo,21,USA,BOS,bruins,D,82,6,10,16
Lance Bouma,27,CAN,CGY,flames,C/LW/RW,61,3,4,7
T.J. Brodie,27,CAN,CGY,flames,D,82,6,30,36
Troy Brouwer,32,CAN,CGY,flames,RW,74,13,12,25
Alex Chiasson,27,CAN,CGY,flames,RW,81,12,12,24
Deryk Engelland,35,CAN,CGY,flames,D,81,4,12,16
Micheal Ferland,25,CAN,CGY,flames,LW/RW,76,15,10,25
Michael Frolik,29,CZE,CGY,flames,RW/C,82,17,27,44
Johnny Gaudreau,24,USA,CGY,flames,LW,72,18,43,61
Mark Giordano,34,CAN,CGY,flames,D,81,12,27,39
Peter Cehlarik,22,SVK,BOS,bruins,LW/RW,11,0,2,2
Nicklas Grossmann,32,SWE,CGY,flames,D,3,0,0,0
Dougie Hamilton,24,CAN,CGY,flames,D,81,13,37,50
Zdeno Chara,40,SVK,BOS,bruins,D,75,9,19,29
Freddie Hamilton,25,CAN,CGY,flames,C,26,2,0,2
Garnet Hathaway,26,USA,CGY,flames,RW,26,1,4,5
Mark Jankowski,23,CAN,CGY,flames,C,1,0,0,0
Brett Kulak,23,CAN,CGY,flames,D,21,0,3,3
Jakob Chychrun,19,USA,ARI,coyotes,D,68,7,13,20
Sean Monahan,23,CAN,CGY,flames,C,82,27,31,58
Hunter Shinkaruk,23,CAN,CGY,flames,C/LW,7,0,1,1
Matt Stajan,34,CAN,CGY,flames,C,81,6,17,23
Matthew Tkachuk,20,USA,CGY,flames,LW,76,13,35,48
Kris Versteeg,31,CAN,CGY,flames,RW/LW,69,15,22,37
Linden Vey,26,CAN,CGY,flames,RW/C,4,0,0,0
Andrew Cogliano,30,CAN,ANA,ducks,LW/C/RW,82,16,19,35
Dennis Wideman,34,CAN,CGY,flames,D,57,5,13,18
Tyler Wotherspoon,24,CAN,CGY,flames,D,4,0,0,0
Jyrki Jokipakka,26,FIN,CGY/OTT,flames,D,41,1,5,6
Curtis Lazar,22,CAN,CGY/OTT,flames,C/RW,37,1,3,4
Spencer Abbott,29,CAN,CHI,blackhawks,LW,1,0,0,0
Artem Anisimov,29,RUS,CHI,blackhawks,C/LW,64,22,23,45
Brian Campbell,38,CAN,CHI,blackhawks,D,80,5,12,17
Kevin Connauton,27,CAN,ARI,coyotes,D,24,0,1,1
Andrew Desjardins,31,CAN,CHI,blackhawks,LW/C,46,0,1,1
Gustav Forsling,21,SWE,CHI,blackhawks,D,38,2,3,5
Ryan Hartman,23,USA,CHI,blackhawks,LW/RW,76,19,12,31
John Hayden,22,USA,CHI,blackhawks,LW/RW/C,12,1,3,4
Vinnie Hinostroza,23,USA,CHI,blackhawks,LW/C,49,6,8,14
Niklas Hjalmarsson,30,SWE,CHI,blackhawks,D,73,5,13,18
Marian Hossa,38,SVK,CHI,blackhawks,RW,73,26,19,45
Patrick Kane,29,USA,CHI,blackhawks,RW/C,82,34,55,89
Duncan Keith,34,CAN,CHI,blackhawks,D,80,6,47,53
Joseph Cramarossa,25,CAN,ANA/VAN,ducks,C/LW,59,4,6,10
Michal Kempny,27,CZE,CHI,blackhawks,D,50,2,6,8
Lawson Crouse,20,CAN,ARI,coyotes,LW,72,5,7,12
Tanner Kero,25,USA,CHI,blackhawks,C/RW,47,6,10,16
Austin Czarnik,25,USA,BOS,bruins,C,49,5,8,13
Marcus Kruger,27,SWE,CHI,blackhawks,C,70,5,12,17
Tyler Motte,22,USA,CHI,blackhawks,LW/C,33,4,3,7
Artemi Panarin,26,RUS,CHI,blackhawks,LW/C,82,31,43,74
Richard Panik,26,SVK,CHI,blackhawks,RW/LW,82,22,22,44
Dennis Rasmussen,27,SWE,CHI,blackhawks,C,68,4,4,8
Laurent Dauphin,22,CAN,ARI,coyotes,C,24,2,1,3
Michal Rozsival,39,CZE,CHI,blackhawks,D,22,1,2,3
Nick Schmaltz,21,USA,CHI,blackhawks,C/LW,61,6,22,28
Brent Seabrook,32,CAN,CHI,blackhawks,D,79,3,36,39
Jonathan Toews,29,CAN,CHI,blackhawks,C,72,21,37,58
Anthony Deangelo,22,USA,ARI,coyotes,D,39,5,9,14
Jordin Tootoo,34,CAN,CHI,blackhawks,RW,50,2,1,3
Trevor van Riemsdyk,26,USA,CHI,blackhawks,D,58,5,11,16
Johnny Oduya,36,SWE,CHI/DAL,blackhawks,D,52,2,7,9
Tomas Jurco,25,SVK,CHI/DET,blackhawks,LW/RW,29,1,0,1
Tyson Barrie,26,CAN,COL,avalanche,D,74,7,31,38
Francois Beauchemin,37,CAN,COL,avalanche,D,81,5,13,18
Gabriel Bourque,27,CAN,COL,avalanche,LW/RW,6,0,0,0
Simon Despres,26,CAN,ANA,ducks,D,1,0,0,0
Rene Bourque,36,CAN,COL,avalanche,RW/LW,65,12,6,18
Joe Colborne,27,CAN,COL,avalanche,C/LW/RW,62,4,4,8
Blake Comeau,31,CAN,COL,avalanche,LW/RW,77,8,12,20
J.T. Compher,22,USA,COL,avalanche,LW/C,21,3,2,5
Shane Doan,41,CAN,ARI,coyotes,RW/LW,74,6,21,27
Max Domi,22,CAN,ARI,coyotes,LW/C,59,9,29,38
Matt Duchene,26,CAN,COL,avalanche,C/LW,77,18,23,41
Eric Gelinas,26,CAN,COL,avalanche,D,27,0,1,1
Cody Goloubef,28,CAN,COL,avalanche,D,33,0,5,5
A.J. Greer,21,CAN,COL,avalanche,LW,5,0,1,1
Mikhail Grigorenko,23,RUS,COL,avalanche,C,75,10,13,23
Rocco Grimaldi,24,USA,COL,avalanche,C,4,0,1,1
Samuel Henley,24,CAN,COL,avalanche,C/RW,1,1,0,1
Erik Johnson,29,USA,COL,avalanche,D,46,2,15,17
Tyson Jost,19,CAN,COL,avalanche,C/LW/RW,6,1,0,1
Gabriel Landeskog,25,SWE,COL,avalanche,LW,72,18,15,33
Anthony Duclair,22,CAN,ARI,coyotes,LW/RW,58,5,10,15
Anton Lindholm,23,SWE,COL,avalanche,D,12,0,0,0
Nathan MacKinnon,22,CAN,COL,avalanche,C/RW,82,16,37,53
John Mitchell,32,CAN,COL,avalanche,C,65,3,4,7
Christian Dvorak,21,USA,ARI,coyotes,C/LW,78,15,18,33
Mikko Rantanen,21,FIN,COL,avalanche,RW,75,20,18,38
Duncan Siemens,24,CAN,COL,avalanche,D,3,0,0,0
Patrick Eaves,33,CAN,ANA/DAL,ducks,RW/LW,79,32,19,51
Carl Soderberg,32,SWE,COL,avalanche,C/LW,80,6,8,14
Fedor Tyutin,34,RUS,COL,avalanche,D,69,1,12,13
Patrick Wiercioch,27,CAN,COL,avalanche,D,57,4,8,12
Nikita Zadorov,22,RUS,COL,avalanche,D,56,0,10,10
Jarome Iginla,40,CAN,COL/L.A,avalanche,RW,80,14,13,27
Sven Andrighetto,24,CHE,COL/MTL,avalanche,RW,46,7,17,24
Mark Barberio,27,CAN,COL/MTL,avalanche,D,60,2,11,13
Oliver Ekman-Larsson,26,SWE,ARI,coyotes,D,79,12,27,39
Andreas Martinsen,27,NOR,COL/MTL,avalanche,LW/C,64,3,4,7
Cody McLeod,33,CAN,COL/NSH,avalanche,LW/RW,59,5,1,6
Matt Nieto,25,USA,COL/S.J,avalanche,LW/RW,59,7,6,13
Ben Smith,29,USA,COL/TOR,avalanche,RW/C,40,2,2,4
Jamie Benn,28,CAN,DAL,stars,LW,77,26,43,69
Adam Cracknell,32,CAN,DAL,stars,RW/C,69,10,6,16
Jason Dickinson,22,CAN,DAL,stars,C,10,2,0,2
Justin Dowling,27,CAN,DAL,stars,C,9,0,2,2
Cody Eakin,26,CAN,DAL,stars,C,60,3,9,12
Remi Elie,22,CAN,DAL,stars,LW,18,1,6,7
Radek Faksa,23,CZE,DAL,stars,C,80,12,21,33
Denis Gurianov,20,RUS,DAL,stars,RW,1,0,0,0
Emerson Etem,25,USA,ANA,ducks,LW/RW,3,0,0,0
Dan Hamhuis,35,CAN,DAL,stars,D,79,1,15,16
Ales Hemsky,34,CZE,DAL,stars,RW,15,4,3,7
Julius Honka,22,FIN,DAL,stars,D,16,1,4,5
Jiri Hudler,33,CZE,DAL,stars,RW/LW,32,3,8,11
Stephen Johns,25,USA,DAL,stars,D,61,4,6,10
John Klingberg,25,SWE,DAL,stars,D,80,13,36,49
Esa Lindell,23,FIN,DAL,stars,D,73,6,12,18
Curtis McKenzie,26,CAN,DAL,stars,LW,53,6,10,16
Mark McNeill,24,CAN,DAL,stars,C/RW,1,0,0,0
Patrik Nemeth,25,SWE,DAL,stars,D,40,0,3,3
Jamie Oleksiak,25,CAN,DAL,stars,D,41,5,2,7
Brett Ritchie,24,CAN,DAL,stars,RW,78,16,8,24
Antoine Roussel,28,FRA,DAL,stars,LW,60,12,15,27
Tyler Seguin,25,CAN,DAL,stars,C/RW,82,26,46,72
Christian Fischer,20,USA,ARI,coyotes,RW,7,3,0,3
Patrick Sharp,36,CAN,DAL,stars,LW/RW/C,48,8,10,18
Devin Shore,23,CAN,DAL,stars,C,82,13,20,33
Gemel Smith,23,CAN,DAL,stars,C,17,3,3,6
Jason Spezza,34,CAN,DAL,stars,C,68,15,35,50
Jordie Benn,30,CAN,DAL/MTL,stars,D,71,4,13,17
Greg Pateryn,27,USA,DAL/MTL,stars,D,36,1,8,9
Jakob Forsbacka Karlsson,21,SWE,BOS,bruins,C,1,0,0,0
Justin Abdelkader,30,USA,DET,redwings,LW/RW,64,7,14,21
Andreas Athanasiou,23,CAN,DET,redwings,C,64,18,11,29
Cam Fowler,26,CAN,ANA,ducks,D,80,11,28,39
Tyler Bertuzzi,22,CAN,DET,redwings,LW,7,0,0,0
Mitch Callahan,26,USA,DET,redwings,RW,4,0,0,0
Danny DeKeyser,27,USA,DET,redwings,D,82,4,8,12
Jonathan Ericsson,33,SWE,DET,redwings,D,51,1,8,9
Luke Glendening,28,USA,DET,redwings,C/RW/LW,74,3,11,14
Mike Green,32,CAN,DET,redwings,D,72,14,22,36
Darren Helm,30,CAN,DET,redwings,C,50,8,9,17
Nick Jensen,27,USA,DET,redwings,D,49,4,9,13
Niklas Kronwall,36,SWE,DET,redwings,D,57,2,11,13
Ryan Garbutt,32,CAN,ANA,ducks,C/LW,27,2,1,3
Dylan Larkin,21,USA,DET,redwings,C/LW,80,17,15,32
Brian Lashoff,27,USA,DET,redwings,D,5,0,0,0
Tyler Gaudet,24,CAN,ARI,coyotes,C,4,0,1,1
Matt Lorito,27,CAN,DET,redwings,LW/RW,2,0,1,1
Anthony Mantha,23,CAN,DET,redwings,RW,60,17,19,36
Drew Miller,33,USA,DET,redwings,LW/RW,55,5,2,7
Frans Nielsen,33,DNK,DET,redwings,C,79,17,24,41
Tomas Nosek,25,CZE,DET,redwings,LW/C,11,1,0,1
Gustav Nyquist,28,SWE,DET,redwings,RW/C/LW,76,12,36,48
Xavier Ouellet,24,FRA,DET,redwings,D,66,3,9,12
Ryan Getzlaf,32,CAN,ANA,ducks,C,74,15,58,73
Dan Renouf,23,CAN,DET,redwings,D,1,0,0,0
Robbie Russo,24,USA,DET,redwings,D,19,0,0,0
Riley Sheahan,26,CAN,DET,redwings,C,80,2,11,13
Ryan Sproul,24,CAN,DET,redwings,D,27,1,6,7
Ben Street,30,CAN,DET,redwings,C,6,0,1,1
